data_month,series_id,data_series,borrower_type,purpose,commitments
1980-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.096592
1980-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.097351
1980-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.101111
1980-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.110177
1980-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.113996
1980-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.104389
1980-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.111943
1980-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.11072
1980-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.108943
1980-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.115465
1980-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.095472
1980-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.101016
1981-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.087005
1981-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088319
1981-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.100354
1981-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.10084
1981-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.097424
1981-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.096992
1981-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.107299
1981-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.093986
1981-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.102884
1981-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088319
1981-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088666
1981-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.089548
1982-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.073055
1982-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.074693
1982-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.100307
1982-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.077386
1982-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.083015
1982-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.089781
1982-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.077213
1982-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.08505
1982-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.086894
1982-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.08119
1982-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.089739
1982-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.089215
1983-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.077252
1983-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.088258
1983-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.122302
1983-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.100544
1983-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.123466
1983-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.124745
1983-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.115078
1983-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.140012
1983-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.135877
1983-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.139193
1983-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.163802
1983-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.152829
1984-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.138548
1984-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.178043
1984-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.195264
1984-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.177987
1984-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.218457
1984-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.186302
1984-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.20509
1984-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.216636
1984-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.184442
1984-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.215234
1984-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.191285
1984-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.164159
1985-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.20014
1985-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.196417
1985-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.212316
1985-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.190129
1985-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.244188
1985-06-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.193961
1985-07-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.242304
1985-08-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.212549
1985-09-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.191873
1985-10-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.213793
1985-11-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.175594
1985-12-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.145463
1986-01-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.13943
1986-02-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.124403
1986-03-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.129272
1986-04-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.187628
1986-05-01T00:00:00Z,A2413051X,Original,Owner Occupation,Owner Occupation: Construction of dwellings,0.171782
